folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,154,1,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,155,2,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,156,3,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,157,4,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,158,5,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,159,6,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,160,7,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,161,8,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,162,9,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,2,163,10,0,0,0,0,0,0,0,0
Acquisition_Day7,CRFAcquisitionBDay7,CRFAcquisitionBDay7_Rat14.csv,14____,12,12,1,C,Marios,120,1,4,164,1,0,0,0,0,0,0,0,0
