folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,90,1,0,0,0,0,0,0.400000000000006,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,91,2,0,0,0,0,0,0,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,92,3,0,0,0,0,0,0,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,93,4,0,0,0,0,0,0,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,94,5,0,0,0,0,0,0,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,95,6,0,0,0,0,0,0,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,96,7,0,0,0,0,1,0.920000000000002,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,97,8,0,0,0,0,0,1,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,98,9,0,0,0,0,2,0.5,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,2,99,10,0,0,0,0,0,0.359999999999999,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,6,100,1,0,0,0,0,0,0,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,6,101,2,0,0,0,0,0,0,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,6,102,3,0,0,0,0,1,0.920000000000002,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,6,103,4,0,0,0,0,0,0.700000000000003,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,6,104,5,0,0,0,0,1,0.159999999999997,0,0
Acquisition_Day5,CRFAcquisitionADay5,CRFAcquisitionADay5_Rat38.csv,38____,11,7,1,C,Marios,97,1,6,105,6,0,0,0,0,0,1,0,0
