folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,150,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,151,2,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,152,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,153,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,154,5,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,155,6,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,156,7,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,157,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,158,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,2,159,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,160,1,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,161,2,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,162,3,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,163,4,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,164,5,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,165,6,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,166,7,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,167,8,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,168,9,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,169,10,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,170,11,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,171,12,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,172,13,0,0,0,0,0,0,0,0
CI_Acq_Stage1_Day2,CIAcqStage1Day2D,CIAcqStage1Day2D_Rat8.csv,8_____,9,13,1,B,Marios,25,1,7,173,14,0,0,0,0,0,0,0,0
