Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	11	133	1	1	9_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	11	133	1	1	9_____	2229	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	2275	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	4734	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	4769	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	5655	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	5854	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	5856	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	5858	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	6852	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	6916	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	8989	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	9018	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	9141	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	9343	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	9347	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	9352	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	9360	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	9371	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	10100	1	2	0	0	0	0	0	0	0	0	0
C	Marios	11	133	1	1	9_____	10600	2	5	0	0	0	0	0	0	0	0	0
C	Marios	11	133	1	1	9_____	10706	5	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	10864	5	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	10924	5	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	10969	5	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	11022	5	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	11089	5	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	11100	5	8	0	0	0	0	0	0	0	0	0
C	Marios	11	133	1	1	9_____	11113	8	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	11600	8	1	0	0	0	0	0	0	0	0	0
C	Marios	11	133	1	1	9_____	11706	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	12302	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	12318	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	13405	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	13473	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	14820	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	14849	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	14860	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	14869	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	18745	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	18747	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	18748	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	18831	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	19308	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	19314	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	20168	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	20232	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	20305	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	20315	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	20322	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	20482	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	20486	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	20510	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	22649	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	22716	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	22717	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	22719	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	22791	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	22869	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	133	1	1	9_____	23022	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	133	1	1	9_____	23160	1	0	0	0	0	0	0	0	0	1	0
