folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,60,1,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,61,2,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,62,3,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,63,4,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,64,5,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,65,6,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,66,7,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,67,8,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,68,9,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,2,69,10,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,7,70,1,0,0,0,0,0,0,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,7,71,2,0,0,0,0,1,0.540000000000006,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,7,72,3,0,0,0,0,0,1,0,0
Acquisition_Stage1_Day4,CIAcquisitionStage1Day4A,CIAcquisitionStage1Day4A_Rat26.csv,26____,7,5,1,C,Marios,94,1,7,73,4,0,0,0,0,0,1,0,0
