folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,60,1,0,0,0,0,0,1,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,61,2,0,0,0,0,0,0.0799999999999983,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,62,3,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,63,4,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,64,5,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,65,6,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,66,7,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,67,8,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,68,9,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,2,69,10,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,70,1,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,71,2,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,72,3,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,73,4,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,74,5,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,75,6,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,76,7,0,0,0,0,1,0.159999999999997,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,77,8,0,0,0,0,0,1,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,78,9,0,0,0,0,0,0.159999999999997,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,6,79,10,0,0,0,0,1,0.459999999999994,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,8,80,1,0,0,0,0,0,1,0,0
NovelLightCues_Acquisition_Day4,CRFNovelLightAcquisitionDay4B,CRFNovelLightAcquisitionDay4B_Rat39.csv,39____,78,15,1,C,Marios,333,1,8,81,2,0,0,0,0,0,1,0,0
