Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,LLR_On,RLR_On,Mag_On,A4_On,LLR_Off,RLR_Off,Mag_Off,A4_Off
C,Marios,2,32,1,1,9_____,0,0,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,4530,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,4542,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,4543,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,4570,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,5750,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,6250,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,6750,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,8230,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,8233,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,8240,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,8368,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,8384,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,8417,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,9676,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,9729,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,11000,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,11500,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,12000,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,12497,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,12501,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,15750,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,16250,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,16750,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,20377,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,20386,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,21595,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,21607,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,21615,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,21800,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,21844,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,21856,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,21993,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,22011,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,22250,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,22750,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,23250,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,26900,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,27400,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,27900,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,28584,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,28667,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,30900,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,31400,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,31900,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,1,1,9_____,34059,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,34169,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,34943,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,34952,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,34981,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,35074,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,35569,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,35614,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,1,1,9_____,35924,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,1,1,9_____,35985,1,0,0,0,0,0,0,0,0,1,0
