folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,45,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,46,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,47,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,48,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,49,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,50,6,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,51,7,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,52,8,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,53,9,0,0,0,0,2,0.100000000000001,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,2,54,10,0,0,0,0,1,0.880000000000003,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,55,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,56,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,57,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,58,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,59,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,60,6,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,61,7,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,62,8,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,63,9,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,17,64,10,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,15,65,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,15,66,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,15,67,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,15,68,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,15,69,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day7,CIFeatureNegativeSatge2Day7AY,CIFeatureNegativeSatge2Day7AY_Rat5.csv,5_____,19,4,1,C,Marios,125,1,15,70,6,0,0,0,0,0,0,0,0
