folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,1,2184.18,2244.18,3,18.9400000000001,0,0,0,0,0,0,1,2,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,2,2244.18,2304.18,2,4.74000000000069,2,1.32000000000062,0,0,0,0,1,2,1,2,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,3,2304.18,2364.18,1,0.199999999999818,2,1.42000000000007,0,0,0,0,1,2,1,2,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,4,2364.18,2424.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,5,2424.18,2484.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,6,2484.18,2544.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,7,2544.18,2604.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,8,2604.18,2664.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,9,2664.18,2724.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,10,2724.18,2784.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,11,2784.18,2844.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,12,2844.18,2904.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,13,2904.18,2964.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,14,2964.18,3024.18,0,0,2,6.53999999999996,0,0,0,0,0,0,1,2,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,15,3024.18,3084.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,16,3084.18,3144.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,17,3144.18,3204.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,18,3204.18,3264.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,19,3264.18,3324.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,20,3324.18,3384.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,21,3384.18,3444.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,22,3444.18,3504.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,23,3504.18,3564.18,0,0,2,1.59999999999991,0,0,0,0,0,0,1,2,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,24,3564.18,3624.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest1_Day24,CRFRepeatTest1P63,CRFRepeatTest1P63_Rat11.csv,11____,63,2,1,C,Marios,293,25,3624.18,3684.18,0,0,3,7.92000000000053,0,0,0,0,0,0,1,2,0,0,0,0
