folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,60,1,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,61,2,0,0,0,0,1,0.0399999999999991,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,62,3,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,63,4,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,64,5,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,65,6,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,66,7,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,67,8,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,68,9,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,2,69,10,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,70,1,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,71,2,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,72,3,0,0,0,0,1,0.140000000000001,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,73,4,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,74,5,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,75,6,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,76,7,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,77,8,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,78,9,0,0,0,0,1,0.140000000000001,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,5,79,10,0,0,0,0,1,0.459999999999994,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,9,80,1,0,0,0,0,2,0.680000000000007,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,9,81,2,0,0,0,0,1,0.719999999999999,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,9,82,3,0,0,0,0,1,0.760000000000005,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,9,83,4,0,0,0,0,0,0.319999999999993,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,9,84,5,0,0,0,0,0,0,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,9,85,6,0,0,0,0,1,0.460000000000008,0,0
NovelLightCues_Acquisition_Day3,CRFNovelLightAcquisitionDay3B,CRFNovelLightAcquisitionDay3B_Rat10.csv,10____,78,9,1,C,Marios,330,1,9,86,7,0,0,0,0,0,0,0,0
