Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,11,200,1,1,9_____,0,0,1,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,1686,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,1711,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,2163,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,2167,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,2176,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,2178,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,8443,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,8585,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,9737,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,9835,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,12515,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,12517,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,12519,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,12555,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,14850,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,14852,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,14855,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,14877,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,15700,1,2,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,16200,2,5,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,16535,5,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,16556,5,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,16700,5,8,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,16743,8,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17111,8,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17127,8,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17148,8,0,0,0,0,1,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17150,8,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17160,8,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17162,8,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17200,8,1,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17263,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17265,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17271,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,17285,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,20109,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,20171,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,25066,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,25069,1,0,0,0,0,1,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,25163,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,27124,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,27164,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30479,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30481,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30482,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30510,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30616,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30656,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30657,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,30674,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,31232,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,31248,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,31765,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,31829,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32100,1,2,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32429,2,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32454,2,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32457,2,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32459,2,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32499,2,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32515,2,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32517,2,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32600,2,6,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32873,6,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32895,6,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32896,6,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32902,6,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32906,6,0,0,0,0,1,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32913,6,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32914,6,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32919,6,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32922,6,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32924,6,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
C,Marios,11,200,1,1,9_____,32933,6,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14A
