folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,45,1,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,46,2,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,47,3,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,48,4,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,49,5,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,50,6,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,51,7,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,52,8,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,53,9,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,2,54,10,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,3,55,1,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day16,CIRetardationTestStage5Day16ChocolateO2,CIRetardationTestStage5Day16ChocolateO2_Rat3.csv,3_____,53,2,1,C,Marios,225,1,3,56,2,0,0,0,0,0,0,0,0
