folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,90,1,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,91,2,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,92,3,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,93,4,0,0,0,0,1,0.0799999999999983,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,94,5,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,95,6,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,96,7,0,0,0,0,2,0.440000000000012,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,97,8,0,0,0,0,0,1,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,98,9,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,2,99,10,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,100,1,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,101,2,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,102,3,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,103,4,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,104,5,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,105,6,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,106,7,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,107,8,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,108,9,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,4,109,10,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,5,110,1,0,0,0,0,1,0.359999999999999,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,5,111,2,0,0,0,0,0,1,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,5,112,3,0,0,0,0,0,1,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,5,113,4,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,5,114,5,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,5,115,6,0,0,0,0,0,0,0,0
RetardationTest_Stage5_Day18,CIRetardationTestStage5Day18BananaO1,CIRetardationTestStage5Day18BananaO1_Rat6.csv,6_____,52,12,1,C,Marios,240,1,5,116,7,0,0,0,0,0,0,0,0
