folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,30,1,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,31,2,0,0,0,0,1,0.420000000000002,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,32,3,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,33,4,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,34,5,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,35,6,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,36,7,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,37,8,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,38,9,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,2,39,10,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,40,1,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,41,2,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,42,3,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,43,4,0,0,0,0,1,0.18,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,44,5,0,0,0,0,0,0.5,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,45,6,0,0,0,0,1,0.399999999999999,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,46,7,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,47,8,0,0,0,0,2,0.939999999999998,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,48,9,0,0,0,0,1,0.560000000000002,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,9,49,10,0,0,0,0,0,1,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,50,1,0,0,0,0,0,1,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,51,2,0,0,0,0,0,1,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,52,3,0,0,0,0,1,0.799999999999997,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,53,4,0,0,0,0,1,0.960000000000001,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,54,5,0,0,0,0,0,1,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,55,6,0,0,0,0,0,0.380000000000003,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,56,7,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,57,8,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,58,9,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,1,11,59,10,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,165,1,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,166,2,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,167,3,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,168,4,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,169,5,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,170,6,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,171,7,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,172,8,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,173,9,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,2,174,10,0,0,0,0,0,0,0,0
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat26.csv,26____,48,5,1,C,Marios,210,2,8,175,1,0,0,0,0,0,0,0,0
